Session ID	zTreeID	Date	Semesterzeit	Pruefungszeit	Ferienzeit	Uhrzeit	ID	SessionID	Session	TN	No	Treatment	No_Problem	Session_Problem	Reason_Problem	Treatment_id	Treatment_id2	Slidertask	slider	creative	eke	kek	slider_fair	creative_trans	Subject	Proposer	Subject_Sample	Group	Mannheim	Sudoku	Gift	Turnier	Feedback	Control	Control_Transfer	Gift_Transfer	Slider_Gift_Fairwage	Evaluator1	Score1	Effort1	Pausen1	Evaluator2	Score2	Effort2	Pausen2	Evaluator3	Score3	Effort3	Pausen3	P_Valid1	P_Valid2	P_Valid3	P_Valid	P_Valid_nonspec1	P_Valid_nonspec2	P_Valid_nonspec3	P_Valid_nonspec	P_Flex1	P_Flex2	P_Flex3	P_Flex	P_Original1	P_Original2	P_Original3	P_Original	Answers1	Answers2	Answers3	Gewoehnlich1	Gewoehnlich2	Gewoehnlich3	bonus_dec	Grund fuer Bonus	Grund gegen Bonus	bonus_recvd	fdb_old	feedback_pos	play_comp	bonus_comp	Transfer1	Transfer2	Transfer3	Ge_Transfer1	Ge_Transfer2	Ge_Transfer3	Ge_Transfer4	Ge_Transfer ges	Ge_Transfer in %	Diff Ge_Tr4-1	Payoff	Fairwage	Adequate_Wage	estimation_ProfitperAnswer	intmot1	intmot2	intmot3	intmot4	self_det_1	self_det_2	self_det_3	self_det_4	self_det_5	pressure1	pressure2	Sex	Age	Altruist	Prosicial	Individualist	Competitive	Income	Creative activities	Gough scale	Freunde	Vorkenntnisse	SE unterdurchschnittlich	SE durchschnitt	SE ueberdurchschnittlich	Gewissenhaftigkeit	Vertraeglichkeit	Neurotizismus	Extraversion	Offenheit	Tendency to forgive	WiWi	SoWi	NaWi	Recht	GeWi	Switching point	Spillover: SE slider uD	Spillover: SE slider D	Spillover: SE slider ueD	Spillover: SE kreativ uD	Spillover: SE kreativ D	Spillover: SE kreativ ueD	Slider Interessant	Kreativ Interessant	P_Subj_1_1	P_Subj_2_1	P_Subj_3_1	P_Subj_4_1	P_Subj_5_1	P_Subj_6_1	P_Subj_7_1	P_Subj_8_1	P_Subj_9_1	P_Subj_10_1	P_Subj_11_1	P_Subj_Durchschnitt_1	P_Subj_1_2	P_Subj_2_2	P_Subj_3_2	P_Subj_4_2	P_Subj_5_2	P_Subj_6_2	P_Subj_7_2	P_Subj_8_2	P_Subj_9_2	P_Subj_10_2	P_Subj_11_2	P_Subj_Durchschnitt_2	P_Subj_1_3	P_Subj_2_3	P_Subj_3_3	P_Subj_4_3	P_Subj_5_3	P_Subj_6_3	P_Subj_7_3	P_Subj_8_3	P_Subj_9_3	P_Subj_10_3	P_Subj_11_3	P_Subj_Durchschnitt_3
1	120423_1016	120423	1	0	0	10:00	12042312101	S1	1	15	1	2				12	slider_gift	1	1	0	0	0	0	0	2	0	1	3	1		1	0	0	0	0	0	0		26	26	0		29	29	0		22	22	2																							1			1	0	0	0	0	26	29	22	0	75	150	150	375	0.167	0.167	13.8															0	20	0	0	1	0	700	0	1	0	0	0	1	0	4	10	6	5	16	5	1	0	0	0	0	5																																												
1	120423_1016	120423	1	0	0	10:00	12042312102	S1	1	15	2	2				12	slider_gift	1	1	0	0	0	0	0	3	0	1	1	1		1	0	0	0	0	0	0		3	3	8		19	19	4		7	7	6																							1			1	0	0	0	0	3	19	7	75	150	0	0	225	0.100	-0.333	16.7															0	25	0	0	1	0	600	1	4	0	0	0	1	0	10	9	3	2	18	6	0	1	0	0	0	7																																												
1	120423_1016	120423	1	0	0	10:00	12042312113	S1	1	15	3	2				12	slider_gift	1	1	0	0	0	0	0	4	1	0	1	1		1	0	0	0	0	0	0		36	36	0		37	37	0		37	37	0																							1	3		1	0	0	0	0	36	37	37	0	0	0	0	0	0.000	0.000	23.9															1	25	0	0	0	0	300	1	-3	0	0	0	1	0	11	8	3	3	16	13	0	1	0	0	0																																													
1	120423_1016	120423	1	0	0	10:00	12042312104	S1	1	15	4	2				12	slider_gift	1	1	0	0	0	0	0	5	0	1	3	1		1	0	0	0	0	0	0		1	1	8		3	3	8		3	3	8																							1			1	0	0	1	0	1	3	3	0	0	0	0	0	0.000	0.000	13.2															0	21	0	0	1	0	0	0	4	0	0	1	0	0	10	6	0	6	7	0	1	0	0	0	0	6																																												
1	120423_1016	120423	1	0	0	10:00	12042312105	S1	1	15	5	2				12	slider_gift	1	1	0	0	0	0	0	6	0	1	2	1		1	0	0	0	0	0	0		4	4	7		25	25	0		5	5	7																							1			1	0	0	0	0	4	25	5	75	75	225	300	675	0.300	0.000	13.5															1	35	0	0	1	0	900	0	6	0	0	0	1	0	7	3	7	5	15	0	0	1	0	0	0	6																																												
1	120423_1016	120423	1	0	0	10:00	12042312106	S1	1	15	6	2				12	slider_gift	1	1	0	0	0	0	0	7	0	1	1	1		1	0	0	0	0	0	0		33	33	0		29	29	0		33	33	0																							1			1	0	0	1	1	33	29	33	150	225	300	375	1050	0.467	-0.250	14.0															1	21	0	1	0	0	450	1	2	0	0	0	1	0	9	7	11	4	16	11	1	0	0	0	0	6																																												
1	120423_1016	120423	1	0	0	10:00	12042312107	S1	1	15	7	2				12	slider_gift	1	1	0	0	0	0	0	8	0	1	2	1		1	0	0	0	0	0	0		2	2	8		9	9	6		6	6	7																							1			1	0	0	0	0	2	9	6	75	150	225	300	750	0.333	0.000	15.4															1	21	0	1	0	0	700	1	2	0	0	0	1	0	13	6	-1	4	15	7	1	0	0	0	0	6																																												
1	120423_1016	120423	1	0	0	10:00	12042312108	S1	1	15	8	2				12	slider_gift	1	1	0	0	0	0	0	9	0	1	2	1		1	0	0	0	0	0	0		2	2	8		2	2	8		1	1	8																							1			1	0	0	0	0	2	2	1	0	0	75	0	75	0.033	0.000	14.0															1	25	0	0	1	0	100	1	7	0	0	0	1	0	2	9	2	1	14	9	0	1	0	0	0	7																																												
1	120423_1016	120423	1	0	0	10:00	12042312109	S1	1	15	9	2				12	slider_gift	1	1	0	0	0	0	0	10	0	1	2	1		1	0	0	0	0	0	0		0	0	8		1	1	8		0	0	8																							1			1	0	0	0	0	0	1	0	0	0	0	0	0	0.000	0.000	14.0															1	22	0	0	1	0	500	1	5	0	0	1	0	0	3	9	-5	12	20	-7	1	0	0	0	0	6																																												
1	120423_1016	120423	1	0	0	10:00	120423121110	S1	1	15	10	2				12	slider_gift	1	1	0	0	0	0	0	11	1	0	3	1		1	0	0	0	0	0	0		38	38	0		42	42	0		45	45	0																							1	1		1	0	0	0	0	38	42	45	0	0	0	0	0	0.000	0.000	16.3															0	23	0	0	0	0	600	1	6	0	0	0	1	0	7	10	-2	8	21	13	1	0	0	0	0																																													
